날짜,품목명,가격
20040625.0,양파,1092
20040626.0,깐마늘(국산),6070
20040626.0,양파,1092
20040628.0,깐마늘(국산),6070
20040628.0,양파,1100
20040629.0,깐마늘(국산),6070
20040629.0,양파,1100
20040630.0,깐마늘(국산),6070
20040630.0,양파,1100
20040701.0,깐마늘(국산),6345
20040701.0,양파,1100
20040702.0,깐마늘(국산),6345
20040702.0,양파,1100
20040705.0,깐마늘(국산),6345
20040705.0,양파,1125
20040706.0,깐마늘(국산),6345
20040706.0,양파,1125
20040707.0,깐마늘(국산),6345
20040707.0,양파,1125
20040708.0,깐마늘(국산),6320
20040708.0,양파,1075
20040709.0,깐마늘(국산),6320
20040709.0,양파,1075
20040712.0,깐마늘(국산),6320
20040712.0,양파,1075
20040713.0,깐마늘(국산),6370
20040713.0,양파,1068
20040714.0,깐마늘(국산),6370
20040714.0,양파,1068
20040715.0,깐마늘(국산),6195
20040715.0,양파,1092
20040716.0,깐마늘(국산),6195
20040716.0,양파,1092
20040719.0,깐마늘(국산),6195
20040719.0,양파,1210
20040720.0,깐마늘(국산),6320
20040720.0,양파,1185
20040721.0,깐마늘(국산),6320
20040721.0,양파,1160
20040722.0,깐마늘(국산),6320
20040722.0,양파,1160
20040723.0,깐마늘(국산),6320
20040723.0,양파,1160
20040726.0,깐마늘(국산),6320
20040726.0,양파,1160
20040727.0,깐마늘(국산),6320
20040727.0,양파,1135
20040728.0,깐마늘(국산),6320
20040728.0,복숭아,15000
20040728.0,양파,1135
20040729.0,깐마늘(국산),6320
20040729.0,복숭아,15000
20040729.0,양파,1135
20040730.0,깐마늘(국산),6320
20040730.0,복숭아,15000
20040730.0,양파,1135
20040802.0,깐마늘(국산),6320
20040802.0,복숭아,15000
20040802.0,양파,1135
20040803.0,깐마늘(국산),6320
20040803.0,복숭아,15000
20040803.0,양파,1135
20040804.0,깐마늘(국산),6320
20040804.0,복숭아,16000
20040804.0,양파,1135
20040805.0,깐마늘(국산),6320
20040805.0,복숭아,16000
20040805.0,양파,1175
20040806.0,깐마늘(국산),6320
20040806.0,복숭아,16000
20040806.0,양파,1200
20040809.0,깐마늘(국산),6320
20040809.0,복숭아,14500
20040809.0,양파,1200
20040810.0,깐마늘(국산),6320
20040810.0,복숭아,14500
20040810.0,양파,1200
20040811.0,깐마늘(국산),6320
20040811.0,복숭아,13500
20040811.0,양파,1200
20040812.0,깐마늘(국산),6320
20040812.0,복숭아,12500
20040812.0,양파,1225
20040813.0,깐마늘(국산),6320
20040813.0,복숭아,12000
20040813.0,양파,1225
20040815.0,깐마늘(국산),6320
20040815.0,복숭아,12000
20040815.0,양파,1225
20040816.0,깐마늘(국산),6320
20040816.0,복숭아,12000
20040816.0,양파,1225
20040817.0,깐마늘(국산),6445
20040817.0,복숭아,12000
20040817.0,양파,1250
20040818.0,깐마늘(국산),6445
20040818.0,복숭아,13500
20040818.0,양파,1250
20040819.0,깐마늘(국산),6445
20040819.0,복숭아,14000
20040819.0,양파,1250
20040820.0,깐마늘(국산),6445
20040820.0,복숭아,14000
20040820.0,양파,1250
20040823.0,깐마늘(국산),6445
20040823.0,복숭아,16000
20040823.0,양파,1270
20040824.0,깐마늘(국산),6445
20040824.0,복숭아,16000
20040824.0,양파,1270
20040825.0,깐마늘(국산),6445
20040825.0,복숭아,17600
20040825.0,양파,1270
20040826.0,깐마늘(국산),6445
20040826.0,복숭아,16333
20040826.0,양파,1270
20040827.0,깐마늘(국산),6445
20040827.0,복숭아,15600
20040827.0,양파,1270
20040830.0,깐마늘(국산),6445
20040830.0,복숭아,15600
20040830.0,양파,1270
20040831.0,깐마늘(국산),6445
20040831.0,복숭아,15200
20040831.0,양파,1270
20040901.0,깐마늘(국산),6320
20040901.0,복숭아,15200
20040901.0,양파,1270
20040902.0,깐마늘(국산),6320
20040902.0,복숭아,15200
20040902.0,양파,1295
20040903.0,깐마늘(국산),6320
20040903.0,복숭아,15200
20040903.0,양파,1295
20040906.0,깐마늘(국산),6320
20040906.0,복숭아,15200
20040906.0,양파,1295
20040907.0,깐마늘(국산),6470
20040907.0,복숭아,15200
20040907.0,양파,1295
20040908.0,깐마늘(국산),6470
20040908.0,복숭아,15500
20040908.0,양파,1295
20040909.0,깐마늘(국산),6370
20040909.0,복숭아,16167
20040909.0,양파,1295
20040910.0,깐마늘(국산),6420
20040910.0,복숭아,16167
20040910.0,양파,1295
20040913.0,깐마늘(국산),6420
20040913.0,복숭아,16167
20040913.0,양파,1295
20040914.0,깐마늘(국산),6270
20040914.0,복숭아,16167
20040914.0,양파,1295
20040915.0,깐마늘(국산),6270
20040915.0,복숭아,16167
20040915.0,양파,1320
20040916.0,깐마늘(국산),6195
20040916.0,복숭아,16167
20040916.0,양파,1320
20040917.0,깐마늘(국산),6195
20040917.0,복숭아,16167
20040917.0,양파,1320
20040920.0,깐마늘(국산),6070
